Rank,Name,Symbol,Price (USD),Market Cap,Vol (24H),Total Vol,Chg (24H),Chg (7D),Dataset Availability
1,Bitcoin,BTC,43115.1,$818.26B,$39.13B,33.11%,-7.14%,-7.06%,True
2,Ethereum,ETH,3488.95,$416.82B,$19.79B,16.74%,-8.41%,-3.84%,True
3,Tether,USDT,1.0,$78.55B,$81.74B,69.16%,0%,+0.05%,True
4,Binance Coin,BNB,468.2,$77.85B,$3.36B,2.84%,-8.59%,-9.00%,True
5,Solana,SOL,150.161,$46.57B,$2.24B,1.90%,-11.22%,-11.43%,True
6,USD Coin,USDC,1.0001,$42.82B,$4.97B,4.20%,-0.01%,+0.03%,True
7,Cardano,ADA,1.2208,$40.95B,$1.47B,1.25%,-8.33%,-6.52%,True
8,XRP,XRP,0.76061,$36.32B,$2.48B,2.10%,-8.42%,-6.97%,True
9,Terra,LUNA,76.0082,$27.32B,$2.31B,1.95%,-10.80%,-7.15%,True
10,Polkadot,DOT,25.91,$25.72B,$1.77B,1.50%,-11.69%,-1.73%,True
11,Avalanche,AVAX,93.95,$22.97B,$1.17B,0.99%,-11.03%,-5.40%,True
12,Dogecoin,DOGE,0.156167,$20.80B,$1.06B,0.90%,-8.06%,-7.11%,True
13,SHIBA INU,SHIB,3e-05,$16.27B,$1.21B,1.03%,-9.37%,-11.37%,True
14,Polygon,MATIC,2.131,$15.33B,$1.98B,1.67%,-11.80%,-12.14%,True
15,Binance USD,BUSD,1.0002,$14.32B,$5.20B,4.40%,+0.02%,+0.16%,True
16,Crypto.com Coin,CRO,0.4968,$12.52B,$282.71M,0.24%,-11.00%,-8.90%,True
17,Wrapped Bitcoin,WBTC,43127.0,$11.28B,$337.73M,0.29%,-7.17%,-8.15%,True
18,Chainlink,LINK,23.64,$11.04B,$4.11B,3.48%,-7.72%,+22.60%,True
19,Uniswap,UNI,16.7442,$10.55B,$639.11M,0.54%,-9.79%,+0.07%,True
20,TerraUSD,UST,1.0,$10.33B,$266.70M,0.23%,-0.10%,-0.16%,True
21,Algorand,ALGO,1.5171,$9.81B,$701.88M,0.59%,-13.41%,-2.46%,True
22,Litecoin,LTC,134.9,$9.37B,$1.41B,1.19%,-9.22%,-6.94%,True
23,Dai,DAI,1.00003,$9.34B,$638.72M,0.54%,+0.01%,+0.30%,True
24,NEAR Protocol,NEAR,15.0333,$9.01B,$1.24B,1.05%,-10.58%,+0.77%,True
25,Cosmos,ATOM,36.6664,$8.29B,$2.18B,1.84%,-12.76%,+34.62%,True
26,Bitcoin Cash,BCH,396.6,$7.47B,$5.22B,4.41%,-7.55%,-7.32%,True
27,TRON,TRX,0.070169,$7.17B,$1.69B,1.43%,-8.25%,-7.83%,True
28,Fantom,FTM,2.702,$6.91B,$2.61B,2.21%,-8.17%,+31.13%,True
29,Stellar,XLM,0.26064,$6.48B,$545.01M,0.46%,-8.06%,-0.37%,True
30,Internet Computer,ICP,29.59,$5.68B,$1.24B,1.05%,-19.02%,+23.62%,False
31,VeChain,VET,0.081367,$5.24B,$736.35M,0.62%,-8.22%,-0.26%,True
32,Decentraland,MANA,2.8409,$5.19B,$704.15M,0.60%,-11.85%,-11.10%,True
33,FTX Token,FTT,37.1521,$5.17B,$382.58M,0.32%,-11.37%,-4.13%,True
34,Hedera,HBAR,0.28193,$5.10B,$220.56M,0.19%,-15.84%,+0.58%,True
35,Filecoin,FIL,32.97,$4.80B,$830.34M,0.70%,-13.04%,-2.73%,True
36,Axie Infinity,AXS,78.0637,$4.73B,$509.74M,0.43%,-16.99%,-16.72%,True
37,Bitcoin BEP2,BTCB,39988.58,$4.54B,$60.16M,0.05%,-7.87%,-7.16%,True
38,The Sandbox,SAND,4.87,$4.48B,$1.32B,1.11%,-11.52%,-13.83%,True
39,Theta Network,THETA,4.2838,$4.28B,$411.65M,0.35%,-13.94%,-10.19%,True
40,Ethereum Classic,ETC,31.52,$4.16B,$424.50M,0.36%,-8.82%,-7.27%,True
41,Elrond,EGLD,205.94,$4.12B,$282.29M,0.24%,-14.59%,-12.48%,True
42,Helium,HNT,37.37,$3.93B,$76.69M,0.06%,-13.99%,+1.51%,True
43,Tezos,XTZ,4.33927,$3.78B,$410.92M,0.35%,-17.32%,+1.03%,True
44,UNUS SED LEO,LEO,3.8199,$3.62B,$4.31M,0%,+1.27%,+1.08%,True
45,Monero,XMR,199.861,$3.59B,$171.29M,0.14%,-10.95%,-5.93%,True
46,Klaytn,KLAY,1.32,$3.43B,$106.91M,0.09%,-8.96%,+7.51%,True
47,IOTA,MIOTA,1.14099,$3.17B,$81.20M,0.07%,-11.86%,-21.99%,True
48,Harmony,ONE,0.27288,$3.17B,$404.82M,0.34%,-13.81%,+25.24%,True
49,Aave,AAVE,224.1,$3.04B,$468.29M,0.40%,-12.64%,-3.04%,True
50,The Graph,GRT,0.62333,$2.94B,$224.19M,0.19%,-12.02%,+0.16%,True
51,PancakeSwap,CAKE,11.28,$2.89B,$172.64M,0.15%,-6.47%,-4.73%,True
52,EOS,EOS,2.8654,$2.80B,$669.19M,0.57%,-10.66%,-4.51%,True
53,Stacks,STX,2.146,$2.79B,$158.65M,0.13%,-12.16%,-0.64%,True
54,BitTorrent,BTT,0.00275,$2.73B,$400.99M,0.34%,-6.18%,+3.46%,True
55,Flow,FLOW,8.2631,$2.62B,$92.80M,0.08%,-8.35%,-3.00%,True
56,Gala,GALA,0.36218,$2.52B,$689.84M,0.58%,-16.19%,-23.12%,True
57,Curve DAO Token,CRV,5.2876,$2.36B,$1.05B,0.88%,-15.10%,+10.36%,True
58,Loopring,LRC,1.7621,$2.35B,$307.11M,0.26%,-16.16%,-9.17%,True
59,THORChain,RUNE,6.83,$2.26B,$113.35M,0.10%,-12.11%,+1.90%,True
60,Kusama,KSM,263.2392,$2.22B,$119.64M,0.10%,-12.33%,-5.49%,True
61,Maker,MKR,2205.38,$2.19B,$123.29M,0.10%,-11.04%,-3.67%,True
62,Bitcoin SV,BSV,112.77,$2.14B,$124.75M,0.11%,-7.38%,-6.55%,True
63,Enjin Coin,ENJ,2.382,$2.01B,$359.40M,0.30%,-13.12%,-7.48%,True
64,Quant,QNT,164.34,$2.00B,$49.21M,0.04%,-8.52%,-5.01%,True
65,eCash,XEC,0.00010287,$1.95B,$33.13M,0.03%,-9.94%,-4.27%,True
66,Amp,AMP,0.04566,$1.95B,$38.07M,0.03%,-8.31%,-6.26%,True
67,Celo,CELO,5.01,$1.93B,$195.42M,0.17%,-9.40%,+10.09%,True
68,Arweave,AR,55.83,$1.84B,$93.91M,0.08%,-10.79%,+2.70%,True
69,Zcash,ZEC,134.79,$1.82B,$324.48M,0.27%,-10.09%,-9.15%,True
70,Basic Attention Token,BAT,1.14528,$1.71B,$354.44M,0.30%,-13.46%,+2.08%,True
71,Kadena,KDA,10.1293,$1.71B,$96.23M,0.08%,-7.33%,-15.76%,True
72,Neo,NEO,24.1053,$1.70B,$143.11M,0.12%,-8.54%,-5.02%,True
73,KuCoin Token,KCS,20.516,$1.68B,$37.12M,0.03%,-7.83%,+3.28%,True
74,Chiliz,CHZ,0.2727,$1.63B,$290.54M,0.25%,-15.23%,-2.84%,True
75,OKB,OKB,25.834,$1.55B,$254.80M,0.22%,-7.75%,-9.63%,True
76,Waves,WAVES,13.9892,$1.50B,$114.98M,0.10%,-13.36%,+0.05%,True
77,Huobi Token,HT,8.9928,$1.42B,$86.24M,0.07%,-4.14%,-6.85%,True
78,Nexo,NEXO,2.41,$1.35B,$14.13M,0.01%,-9.01%,+0.65%,True
79,TrueUSD,TUSD,1.0002,$1.30B,$153.93M,0.13%,0%,-0.03%,True
80,Dash,DASH,120.75,$1.27B,$232.59M,0.20%,-10.39%,-7.21%,True
81,Oasis Network,ROSE,0.3647,$1.26B,$269.48M,0.23%,-11.76%,-2.89%,True
82,Compound,COMP,199.6,$1.26B,$232.29M,0.20%,-14.33%,+2.95%,True
83,Mina,MINA,3.636,$1.25B,$148.31M,0.13%,-10.58%,+7.71%,True
84,Ravencoin,RVN,0.115171,$1.20B,$328.09M,0.28%,-10.40%,+25.59%,True
85,yearn.finance,YFI,31909.34,$1.17B,$405.68M,0.34%,-14.46%,+12.65%,True
86,XDC Network,XDC,0.0929,$1.15B,$12.16M,0.01%,+0.95%,+4.19%,True
87,Holo,HOT,0.006566,$1.14B,$126.74M,0.11%,-10.18%,-9.70%,True
88,NEM,XEM,0.12415,$1.11B,$115.58M,0.10%,-2.04%,+1.20%,True
89,IoTeX,IOTX,0.107928,$1.03B,$45.80M,0.04%,-13.18%,-8.83%,True
90,1inch,1INCH,2.26,$993.42M,$143.07M,0.12%,-11.16%,-3.92%,True
91,Velas,VLX,0.42199,$988.15M,$25.27M,0.02%,-4.86%,+22.21%,True
92,Theta Fuel,TFUEL,0.1785,$947.74M,$33.55M,0.03%,-9.02%,-5.67%,True
93,Pax Dollar,USDP,1.0002,$945.27M,$12.77M,0.01%,+0.01%,+0.04%,True
94,SushiSwap,SUSHI,7.4024,$944.22M,$694.16M,0.59%,-11.02%,-16.01%,True
