Date,Open,High,Low,Close,Volume,Currency
2017-11-09,1.99,2.2,1.9,1.99,283348,USD
2017-11-10,1.99,2.02,1.6,1.71,483228,USD
2017-11-11,1.71,1.93,1.58,1.66,256706,USD
2017-11-12,1.66,1.7,1.34,1.49,456476,USD
2017-11-13,1.49,1.74,1.49,1.68,166010,USD
2017-11-14,1.68,1.74,1.53,1.59,173125,USD
2017-11-15,1.59,1.68,1.49,1.55,291610,USD
2017-11-16,1.55,1.67,1.51,1.56,193732,USD
2017-11-17,1.56,1.58,1.49,1.5,419404,USD
2017-11-18,1.5,1.67,1.49,1.67,168624,USD
2017-11-19,1.67,1.69,1.58,1.6,172568,USD
2017-11-20,1.6,1.65,1.56,1.64,158695,USD
2017-11-21,1.64,1.64,1.54,1.59,404198,USD
2017-11-22,1.59,1.62,1.56,1.62,179150,USD
2017-11-23,1.62,1.62,1.54,1.57,178864,USD
2017-11-24,1.57,1.82,1.54,1.73,631812,USD
2017-11-25,1.73,1.96,1.68,1.87,462640,USD
2017-11-26,1.87,1.91,1.76,1.84,192598,USD
2017-11-27,1.84,1.95,1.74,1.95,472124,USD
2017-11-28,1.95,1.95,1.8,1.92,357693,USD
2017-11-29,1.92,2.05,1.55,1.76,901088,USD
2017-11-30,1.76,2.04,1.71,1.95,736317,USD
2017-12-01,1.95,2.14,1.88,2.05,308391,USD
2017-12-02,2.05,2.12,1.98,2.08,240593,USD
2017-12-03,2.08,2.4,2.04,2.26,341637,USD
2017-12-04,2.26,2.59,2.26,2.55,369614,USD
2017-12-05,2.55,2.75,2.5,2.61,418314,USD
2017-12-06,2.61,2.8,2.33,2.51,369571,USD
2017-12-07,2.51,2.84,2.4,2.66,520768,USD
2017-12-08,2.66,2.8,2.21,2.79,641796,USD
2017-12-09,2.79,2.81,2.18,2.65,470092,USD
2017-12-10,2.65,2.66,2.13,2.46,548969,USD
2017-12-11,2.46,2.78,2.45,2.69,378448,USD
2017-12-12,2.69,2.74,2.45,2.55,534097,USD
2017-12-13,2.55,2.74,2.27,2.72,669428,USD
2017-12-14,2.72,3.15,2.63,3.15,871677,USD
2017-12-15,3.15,4.4,2.99,4.12,896215,USD
2017-12-16,4.12,4.72,3.82,4.64,767286,USD
2017-12-17,4.64,6.7,4.6,6.0,1523190,USD
2017-12-18,6.0,6.1,4.75,6.0,1406098,USD
2017-12-19,6.0,6.46,5.27,5.7,1740771,USD
2017-12-20,5.7,5.7,4.68,5.15,1378585,USD
2017-12-21,5.15,5.69,4.42,5.16,984452,USD
2017-12-22,5.16,5.2,3.25,4.29,1569794,USD
2017-12-23,4.29,5.0,4.17,4.4,945695,USD
2017-12-24,4.4,5.2,3.8,5.18,1030828,USD
2017-12-25,5.18,6.88,5.03,6.46,1439027,USD
2017-12-26,6.46,10.79,6.35,9.25,2972306,USD
2017-12-27,9.25,11.3,8.26,10.07,2732615,USD
